Bissel Gardens Farmers' Market,Baychester Ave & 214st Street,40.901404,-73.846962,7/6/11/19,9/17,Wednesday/Saturday,EBT,Bronx,http://bisselgardens.org/thegardens/farmersmarket/,_
Bronx Borough Hall Greenmarket,Grand Concourse bet 161st & 162nd Street,40.827307,-73.922772,6/7/11/22,8/16,Tuesday,EBT,Bronx,https://www.grownyc.org/greenmarket/bronx/bronx-borough-hall,Textile Recycling/Food Scrap Composting
Harvest Home Co-Op City Farmers' Market,Asch Loop & Aldrich Street,40.87023,-73.831027,7/6/11/23,8/16,Wednesday,EBT,Bronx,http://www.harvesthomefm.org/bronx_markets.aspx,_
Harvest Home Hunts Point Farmers Market,East 163rd Street & Hunts Point Ave,40.821033,-73.890937,6/15/11/23,8/16,Wendnesday ,EBT,Bronx,http://www.harvesthomefm.org/bronx_markets.aspx,_
Harvest Home Jacobi Hospital Farmers' Market,1400 Pelham Pkway at Eastchester Road,40.856025,-73.845936,5/10/11/22,8/16,Tuesday/Friday,EBT,Bronx,http://www.harvesthomefm.org/bronx_markets.aspx,_
Harvest Home Mt Eden Farmers' Market,Mt Eden Ave & Morris Ave,40.842613,-73.909471,5/24/11/22,8/16,Tuesday/Thursday,EBT,Bronx,http://www.harvesthomefm.org/bronx_markets.aspx,_
Harvest Home North Central Bronx Farmers' Market,Mosholu Pkwy & Jerome Ave,40.880595,-73.883843,7/6/11/23,8/16,Wednesday,EBT,Bronx,http://www.harvesthomefm.org/bronx_markets.aspx,_
Harvest Home Soundview Farmers' Market,Morrison Ave & Harrod Place,40.829201,-73.874553,6/18/11/19,8/16,Saturday,EBT,Bronx,http://www.harvesthomefm.org/bronx_markets.aspx,_
Harvest Home St Mary's Park Farmers' Market,149th Street & St. Ann's Ave,40.81415,-73.912938,7/7/11/17,8/16,Thursday,EBT,Bronx,http://www.harvesthomefm.org/bronx_markets.aspx,_
Kingsbridge-Riverdale Farmers' Market,260 West 231st Street,40.879825,-73.906591,6/12/11/20,9/17,Sunday ,EBT,Bronx,http://krfarmersmarket.blogspot.com/,_
La Familia Verde Farmers Market,East Tremont Ave bet LaFontaine & Arthur Ave,40.846558,-73.894102,7/12/11/15,8/14,Tuesday,EBT,Bronx,http://www.lafamiliaverde.org/,_
Learn It Grow It Eat It Youthmarket,McKinley Square bet 169th Street & Boston Road,40.831213,-73.900363,7/6/11/23,10/15,Wednesday,EBT,Bronx,https://www.grownyc.org/youthmarket/lge,Food Scrap Composting
Lincoln Hospital Greenmarket,149th Street bet Park & Morris Ave,40.817673,-73.923912,6/24/11/18,8/15,Tuesday/Friday,EBT,Bronx,https://www.grownyc.org/greenmarket/bronx/lincoln-hospital-fr,_
Mott Haven Farmers' Market,139th Street & St. Ann's Ave at Padre Plaza,40.80755,-73.917041,7/7/11/3,10/16,Tuesday,EBT,Bronx,http://www.justfood.org/projectloc/mott-haven-farmers-market,_
New York Botanical Gardens Greenmarket,Southern Blvd bet Mosholu Pkwy & Bedford Park Blvd,40.86696,-73.881009,6/22/10/26,9/15,Wednesday,EBT,Bronx,https://www.grownyc.org/greenmarket/bronx/botanical-garden,_
Norwood Youthmarket,E Gun Hill Road & Dekalb Ave,40.882259,-73.880482,7/7/11/17,12/19,Thursday,EBT,Bronx,https://www.grownyc.org/youthmarket/norwood,_
Parkchester Greenmarket,Westchester Ave & White Plains Road,40.832813,-73.862677,6/10/11/18,8/16,Friday,EBT,Bronx,https://www.grownyc.org/greenmarket/bronx/parkchester,Textile Recycling/Food Scrap Composting
Poe Park Greenmarket,192nd Street bet Grand Concourse & Valentine Ave,40.864253,-73.895872,6/28/11/22,8/15,Tuesday,EBT,Bronx,https://www.grownyc.org/greenmarket/bronx/poe-park,Textile Recycling/Food Scrap Composting
Riverdale Y Sunday Farmers' Market,Independence Ave bet 236th & 237th Street (MS/HS 141),40.887716,-73.913572,7/10/10/23,9/14,Sunday,_,Bronx,http://www.riverdaley.org/index.php?src=gendocs&ref=SundayMarket&category=community,_
Riverdale Youthmarket,256th Street & Mosholu Ave,40.903889,-73.903139,7/7/10/27,13/19,Thursday,EBT,Bronx,https://www.grownyc.org/youthmarket/riverdale,_
South Bronx Farmers' Market,138th Street bet Willis & Alexander Ave,40.809532,-73.923977,6/18/11/19,10/16,Saturday,EBT,Bronx,http://www.southbronxfarmersmarket.com/,_
Taqwa Community Farmers' Market,90 West 164th Street,40.832568,-73.928872,7/9/11/12,9/16,Saturday,EBT,Bronx,https://www.soilmate.com/markets/taqwa-community-farmers-market,_
Agape's Bounty Farmers' Market,8712 Glenwood Road bet 87th & 88th Streets,40.640298,-73.909284,7/9/11/1,10/14,Saturday,EBT,Brooklyn ,http://thewellatagape.com/index.html,_
Bartel-Pritchard Square Greenmarket,Prospect Park West at 15th Street,40.668209,-73.978418,1/1/12/31,8/15,Sunday,EBT,Brooklyn ,https://www.grownyc.org/greenmarket/brooklyn/bartel-pritchard-square-wed,_
Bay Ridge Greenmarket,3rd Ave & 95th Street,40.618367,-74.03377,5/7/11/19,8/13,Saturday,EBT,Brooklyn ,https://www.grownyc.org/greenmarket/brooklyn/bay-ridge,Food Scrap Composting
Bensonhurst Greenmarket,18th Ave bet 81st & 82nd Streets,40.610073,-73.999579,6/5/11/20,9/16,Sunday,EBT,Brooklyn ,https://www.grownyc.org/greenmarket/brooklyn/bensonhurst,_
Boro Park Greenmarket,14th Ave bet 49th & 50th Street,40.634191,-73.990272,7/7/11/17,8/15,Thursday,EBT,Brooklyn ,https://www.grownyc.org/greenmarket/brooklyn/boro-park,Textile Recyling/Food Scrap Composting
Brooklyn Borough Hall Greenmarket,Court & Montague Streets,40.693888,-73.990257,1/1/12/31,8/17,Tuesday/Thursday,EBT,Brooklyn ,https://www.grownyc.org/greenmarket/brooklyn/boro-hall-sa,Textile Recyling/Food Scrap Composting
Brownsville Pitkin Avenue Youthmarket,Pitkin Ave & Thomas Boyland Street,40.669163,-73.913767,7/9/11/19,10/15,Saturday,EBT,Brooklyn ,https://www.grownyc.org/youthmarket/brownsville-pitkin,_
Brownsville Rockaway Youthmarket,Rockaway & Livonia Ave,40.662667,-73.908844,7/8/11/18,12/17,Friday,EBT,Brooklyn ,https://www.grownyc.org/youthmarket/brownsville-rockaway,_
Bushwick Farmers' Market at Maria Hernandez Park,Knickerbocker Ave & Starr Street,40.702816,-73.925341,7/16/11/19,9/15,Saturday,EBT,Brooklyn ,http://bushwickfarmersmarket.org/,_
Bushwick Farmers' Market on Broadway,Halsey Street & Broadway,40.685761,-73.915532,7/14/11/17,14/19,Thursday,EBT,Brooklyn ,http://bushwickfarmersmarket.org/,_
Carroll Gardens Greenmarket,Carroll Street bet Court & Smith Streets,40.681455,-73.995115,1/1/12/31,8/15,Sunday,EBT,Brooklyn ,https://www.grownyc.org/greenmarket/brooklyn/carroll-gardens,Textile Recyling/Food Scrap Composting
Cortelyou Greenmarket,Cortelyou Road bet Argyle & Rugby Roads,40.64075,-73.965735,1/1/12/31,8/15,Sunday,EBT,Brooklyn ,https://www.grownyc.org/greenmarket/brooklyn/cortelyou,Textile Recyling/Food Scrap Composting
Cypress Hills Youthmarket,Fulton & Richmond Streets,40.682417,-73.876612,7/8/11/18,11/18,Friday,EBT,Brooklyn ,https://www.grownyc.org/youthmarket/cypresshills,_
DUMBO Down to Earth Farmers' Market,Pearl & Water Streets,40.703123,-73.987612,6/8/11/16,12/18,Wednesday,EBT,Brooklyn ,http://downtoearthmarkets.com/markets?market=DUMBO%20Farmers%20Market%202016,_
East New York Farm Stand,New Lots Ave bet Alabama & Georgia Ave,40.660938,-73.895477,7/2/10/29,15:30/18:30,Wednesday,EBT,Brooklyn ,http://www.eastnewyorkfarms.org/index.php?option=com_content&view=article&id=7&Itemid=7,_
East New York Farmers' Market,Schenck Ave bet New Lots & Livonia Ave,40.66536,-73.886691,6/1/11/30,9/15,Saturday,EBT,Brooklyn ,http://www.eastnewyorkfarms.org/index.php?option=com_content&view=article&id=7&Itemid=7,_
Edible Schoolyard NYC Farm Stand at PS 216,Ave X & East 1st Street,40.590437,-73.969408,7/22/11/11,13:45/14:45,Friday,EBT,Brooklyn ,https://www.edibleschoolyardnyc.org/programs/demonstration-schools/brooklyn-demonstration-school/,_
Flatbush Junction Youthmarket,Nostrand & Flatbrush Ave by subway entrance,40.633229,-73.947844,7/9/11/19,8:30/15,Saturday,EBT,Brooklyn ,https://www.grownyc.org/youthmarket/flatbush-junction-youthmarket,_
Fort Greene Park Greenmarket,Washington Park bet DeKalb & Willoughby Ave,40.690418,-73.973288,1/1/12/31,8/16,Saturday,EBT,Brooklyn ,https://www.grownyc.org/greenmarket/brooklyn/fort-greene,Textile Recycling/Food Scrap Composting
Graham Avenue Farmers' Market,Cook Street & Graham Ave,40.702356,-73.942263,7/2/10/29,8/17:30,Saturday,EBT,Brooklyn ,http://grahamavenuebid.net/event/farmers-market-returns-to-cook-st,_
Grand Army Plaza Greenmarket,Prospect Park West & Flatbush Ave,40.673219,-73.969488,1/1/12/31,8/16,Saturday,EBT,Brooklyn ,https://www.grownyc.org/greenmarket/brooklyn-grand-army-plaza,Textile Recycling/Food Scrap Composting
Greenpoint McCarren Park Greenmarket,Union Ave bet Driggs Ave & North 12 Street,40.721313,-73.952183,1/1/12/31,8/15,Saturday,EBT,Brooklyn ,https://www.grownyc.org/greenmarket/brooklyn/greenpoint-sa,_
Harvest Home Cityline Farmers' Market,Drew Street bet 101 & Liberty Ave,40.679232,-73.863174,7/9/11/19,8/16,Saturday,EBT,Brooklyn ,http://www.harvesthomefm.org/brooklyn_markets.aspx,_
Harvest Home Clinton Hill Farmers' Market,Lafayatte bet Waverly & Washington Ave,40.688177,-73.966339,8/16/11/22,8/16,Tuesday,EBT,Brooklyn ,http://www.harvesthomefm.org/brooklyn_markets.aspx,_
Harvest Home Coney Island Hospital Farmers' Market,Ocean Parkway bet Ave Z & Shore Parkway,40.585858,-73.966667,6/15/11/25,8/16,Wednesday/Friday,EBT,Brooklyn ,http://www.harvesthomefm.org/brooklyn_markets.aspx,_
Harvest Home Kings County Hospital Farmers' Market ,Clarkson Ave bet East 37th & East 38th Streets,40.655847,-73.942929,6/8/11/23,8/17,Wednesday,EBT,Brooklyn ,http://www.harvesthomefm.org/brooklyn_markets.aspx,_
Harvest Home Marcy Park Farmers' Market,Myrtle & Marcy Ave ,40.69538,-73.949235,7/7/11/17,8/16,Thursday,EBT,Brooklyn ,http://www.harvesthomefm.org/brooklyn_markets.aspx,_
Hattie Carthan After Church Farmers' Market,49 Van Buren Street bet Tompkins & Throop Ave,40.690239,-73.9457756,7/3/11/25,13/18,Sunday,EBT,Brooklyn ,http://www.hattiecarthancommunitymarket.com/,_
Hattie Charthan Community Farmers' Market,Marcy Ave & Clifton Place,40.6893159,-73.9519758,7/2/11/26,9/15,Saturday,EBT,Brooklyn ,http://www.hattiecarthancommunitymarket.com/,_
High School for Public Service Youth Farm Farmers' Market,600 Kensington Ave bet Rutland Road & Winthrop Street,40.658669,-73.9460267,6/24/10/28,14:30/18:30,Wednesday,EBT,Brooklyn ,http://www.theyouthfarm.org/production/farmers-market/,_
Isabahlia Farm Stand,Rockaway & Sutter Ave,40.667417,-73.910288,7/22/11/11,12/17,Friday,EBT,Brooklyn ,http://www.isabahlialoefinc.org/farmers-market/,_
Isabahlia Farmers' Market,410 Livonia Ave,40.663742,-73.902324,7/16/11/19,8/15,Saturday,EBT,Brooklyn ,http://www.isabahlialoefinc.org/farmers-market/,_
Kensington Youthmarket,Fort Hamilton Parkway bet East 4th & East 5th Streets,40.6491949,-73.9942596,6/4/12/17,8/16,Saturday,EBT,Brooklyn ,https://www.grownyc.org/youthmarket/kensington,_
Malcolm X Blvd Farmers' Market,Malcolm X Blvd bet Marion & Chauncey Streets,40.6801909,-73.9302047,7/2/11/26,7/16,Saturday,EBT,Brooklyn ,https://brmuhc.org/malcolm-x-blvd-marcy-plaza-markets,_
Marcy Plaza Community Farmers' Market,Fulton Street & Marcy Ave,40.680314,-73.946192,7/13/11/9,10/17,Wednesday,EBT,Brooklyn ,http://www.restorationplaza.org/calendar/farmersmarket,_
McGolrick Park's Down to Earth Farmers' Market,Russell Street & Nassau Ave - center of park,40.724464,-73.943414,4/24/11/6,10/16,Sunday,EBT,Brooklyn ,http://downtoearthmarkets.com/markets?region=Brooklyn&market=McGolrick+Park+Farmers+Market,_
Park Slope's Down to Earth Farmers' Market,5th Ave & 4th Street,40.6721883,-73.9838735,4/24/12/18,10/16,Sunday,EBT,Brooklyn ,http://downtoearthmarkets.com/markets?region=brooklyn&market=park+slope+sunday+farmers+market,_
Parkside Plaza Greenmarket,Parkside & Ocean Ave,40.655104,-73.961855,6/12/11/20,9/16,Sunday,EBT,Brooklyn ,https://www.grownyc.org/greenmarket/brooklyn/parkside,_
Pitkin Verde Farmers' Market,2094 Pitkin Avenue At Pennslyvania Ave,40.6717508,-73.8974365,7/5/11/22,9/17,Tuesday,EBT,Brooklyn ,http://www.cypresshills.org/chw/news/announcing-the-pitkin-verde-farmers-market/,_
Project EATS Brookln Museum Farmer's Market,200 Eastern Parkway,40.6709701,-73.9658501,7/7/11/17,15:30/21,Thursday,EBT,Brooklyn ,http://projecteats.org/farm/brooklyn-museum-farm/,_
Project EATS Marcus Garvey Village Farm Market,300 Chester Street at Dumont Ave,40.6637875,-73.9114088,7/1/11/1,10/16,Saturday,EBT,Brooklyn ,http://projecteats.org/,_
Red Hook Farmers' Market,580 Columbia Street,40.6717588,-74.0113393,6/18/11/19,10/15,Saturday,EBT,Brooklyn ,http://www.added-value.org/farmers-market/,_
Saratoga Urban Agro-Educational Center,Saratoga Ave & Fulton Street,40.6784474,-73.9173669,7/2/11/26,10/14,Saturday,EBT,Brooklyn ,http://www.ediblebrooklyn.com/guides/saratoga-urban-agro-educational-center/,_
Sunset Park Greenmarket,4th Ave bet 59th & 60th Streets,40.642257,-74.017638,7/9/11/19,8/15,Saturday,EBT,Brooklyn ,https://www.grownyc.org/greenmarket/brooklyn/sunset-park,Food Scrap Composting
Urban Oasis Farmers' Market,Clarkson & Troy Ave,40.639397,-73.935881,7/1/11/1,14/17:30,Wednesday,EBT,Brooklyn ,http://www.ediblebrooklyn.com/guides/urban-oasis-farmers-market/,_
Williamsburg Greenmarket,Taylor Street & Lee Ave,40.706894,-73.961442,7/7/11/17,8/16,Thursday,EBT,Brooklyn ,https://www.grownyc.org/greenmarket/brooklyn/williamsburg,Textile Recyling/Food Scrap Composting
57th Street Greenmarket,Ninth Ave bet 57 & 56 Street,40.767878,-73.98581,5/21/12/24,8/17,Wednesday/Saturday,EBT,Manhattan,https://www.grownyc.org/greenmarket/manhattan/57th-street-sa,Textile Recycling/Food Scrap Composting
